id,resturants
2595,240.25
3647,152.5
5022,70.6
5099,211.0
5203,69.42999999999999
5238,152.5
5295,134.95
5441,76.44999999999999
6090,117.39999999999998
7322,140.79999999999998
7750,199.3
8700,70.6
9357,152.5
9657,187.6
9704,37.84
9783,35.5
12048,23.8
12192,56.56
12318,134.95
14287,153.67
14322,211.0
14991,105.7
15220,57.72999999999999
15341,187.6
15396,415.75
15711,269.5
16421,37.84
16580,70.6
16821,92.83
17037,246.1
17092,36.67
17693,53.05
18127,199.3
18728,152.5
19159,105.7
19169,310.45
19319,86.97999999999999
20299,47.19999999999999
20300,35.5
21456,140.79999999999998
22918,47.19999999999999
23501,53.05
23686,562.0
26362,46.03
26559,140.79999999999998
26933,386.5
26954,209.83
27006,251.95
27385,240.25
27644,175.89999999999998
27759,175.89999999999998
27883,94.0
28907,152.5
29012,76.44999999999999
29455,117.39999999999998
30927,99.85
31130,129.1
31555,111.54999999999998
33014,205.15
36647,57.72999999999999
36703,240.25
38638,233.23
39267,92.83
40453,269.5
41513,70.6
44212,123.25
44221,206.32
44288,175.89999999999998
44506,170.04999999999998
45936,92.83
47199,64.75
47926,298.75
48719,326.83
51438,129.1
51485,74.11
51572,120.91
53137,205.15
54453,99.85
54466,211.0
54860,94.0
55668,129.1
56467,129.1
56859,51.88
57468,198.13
57618,269.5
57740,256.63
57754,333.85
57874,158.35
58059,47.19999999999999
58467,117.39999999999998
59014,152.5
59855,269.5
60164,562.0
60457,240.25
60611,123.25
60666,84.63999999999999
60673,181.75
60680,92.83
60794,205.15
60948,140.79999999999998
61167,134.95
61224,562.0
61406,70.6
61492,117.39999999999998
61509,105.7
62427,129.1
62891,181.75
63693,433.3
63913,64.75
64015,211.0
64707,82.3
64837,56.56
65019,111.54999999999998
65562,127.92999999999998
65813,64.75
66251,225.04
66275,88.14999999999999
66718,134.95
67288,122.07999999999998
68099,104.53
68974,649.75
69894,152.5
70095,82.3
70128,53.05
70609,562.0
71010,269.5
71248,123.25
74333,109.20999999999998
74404,269.5
77936,152.5
80493,60.06999999999999
82638,174.73
83847,240.25
84905,88.14999999999999
86215,152.5
98330,123.25
98663,129.1
99070,53.05
100002,55.39
102995,225.04
103806,268.33
107895,117.39999999999998
112304,82.3
112359,240.25
113945,76.44999999999999
114969,146.64999999999998
115535,53.05
115678,92.83
118430,316.29999999999995
118680,78.78999999999999
123784,105.7
125053,439.15
126443,198.13
126816,76.44999999999999
128975,119.73999999999998
132570,175.89999999999998
135706,131.44
140973,193.45
141890,415.75
141984,181.75
144087,280.03
144148,89.32
145188,211.0
145994,88.14999999999999
147586,322.15
148201,181.75
148825,170.04999999999998
149287,269.5
150804,269.5
152259,41.35
152263,328.0
154934,64.75
160994,211.0
163809,208.66
163814,92.83
164989,140.79999999999998
165461,64.75
166006,269.5
166541,64.75
167013,216.85
167482,193.45
168084,199.3
168546,269.5
168810,181.75
169002,53.05
170420,69.42999999999999
171776,175.89999999999998
172700,111.54999999999998
172870,81.13
173072,34.33
173742,445.0
174966,607.0
177606,198.13
179670,117.39999999999998
179741,328.0
181972,209.83
182069,117.39999999999998
182095,209.83
187488,94.0
187986,269.5
188674,170.04999999999998
189181,275.35
190267,174.73
191075,105.7
193105,152.5
193853,151.32999999999998
194154,81.13
195123,35.5
197155,151.32999999999998
197753,56.56
199195,64.75
200645,82.3
200955,164.2
203901,199.3
204959,88.14999999999999
205043,152.5
211974,269.5
212109,70.6
212178,246.1
213330,211.0
218358,70.6
219793,209.83
219818,209.83
219922,94.0
220351,41.35
220946,147.82
221043,269.5
221618,152.5
224004,57.72999999999999
224006,328.0
225297,123.25
227735,313.96
228496,240.25
228517,105.7
228979,129.1
229367,81.13
230877,134.95
231414,292.9
232618,146.64999999999998
233189,186.43
233662,105.7
234184,357.25
235651,129.1
235951,199.3
235960,211.0
239055,328.0
239766,94.0
239826,443.83
241862,211.0
245504,60.06999999999999
248871,796.0
249414,264.82
249618,123.25
250323,116.23
250537,445.0
250801,971.5
251277,140.79999999999998
252076,111.54999999999998
253590,193.45
253623,71.77
256328,866.1999999999999
258688,357.25
258690,205.15
258740,44.86
261259,146.64999999999998
261674,88.14999999999999
261781,415.75
262343,156.01
262478,70.6
262583,328.0
263232,158.35
263888,240.25
264323,76.44999999999999
265831,339.7
266146,104.53
266155,172.39
266437,234.4
266756,209.83
267708,92.83
268392,129.1
271950,328.0
271954,152.5
272026,42.52
273190,369.00000000000006
273256,211.0
274743,105.7
276482,76.44999999999999
277370,139.63
278090,35.5
278631,269.5
279093,328.0
281521,211.0
281851,129.1
282443,82.3
283090,187.6
285442,328.0
285492,427.45
286838,64.75
287408,170.04999999999998
289020,186.43
289703,268.33
291524,221.53
292047,82.3
292121,209.83
293004,105.7
294250,152.5
295998,328.0
299078,269.5
301034,140.79999999999998
302758,152.5
303345,82.3
303462,322.15
304799,152.5
309342,92.83
310325,64.75
310338,64.75
310796,104.53
311343,77.61999999999999
313890,92.83
317838,209.83
318021,105.7
321136,111.54999999999998
322974,117.39999999999998
324517,104.53
325429,233.23
327521,152.5
328693,186.43
329310,269.5
329385,78.78999999999999
333323,64.75
334781,70.6
336220,123.25
339456,429.79
341525,88.14999999999999
341982,92.83
342027,118.57
343276,88.14999999999999
343971,81.13
344019,205.15
344068,164.2
346805,140.79999999999998
347865,198.13
351859,287.04999999999995
352864,47.19999999999999
353317,127.92999999999998
354095,209.83
357509,105.7
